# 2016 12 15 14 25 14.36  11.8803  141.4615   12.00 -2.00  0.00  0.00  0.00          1
Y03        14.650   1.000   S
Y85         8.400   1.000   P
Y07        10.370   1.000   P
Y06        10.350   1.000   P
Y40         9.420   1.000   P
# 2016 12 18  0 20 18.56  12.0710  141.4822    9.40 -2.00  0.00  0.00  0.00         23
Y03        19.420   1.000   S
Y09         5.250   1.000   P
Y09        13.300   1.000   S
Y07        11.030   1.000   P
Y07        11.320   1.000   S
Y06         5.460   1.000   P
Y06        11.030   1.000   S
Y40         3.440   1.000   P
# 2016 12 18  1 10  1.54  11.7467  141.7412   10.10 -2.00  0.00  0.00  0.00         24
Y07         6.460   1.000   P
Y06         7.470   1.000   P
Y06        13.410   1.000   S
Y40         6.460   1.000   P
Y40        10.940   1.000   S
# 2016 12 18  1 30 59.88  11.9427  141.8238   12.60 -2.00  0.00  0.00  0.00         25
Y09         4.110   1.000   P
Y85         7.170   1.000   P
Y07         4.110   1.000   P
Y07        11.920   1.000   S
Y06         5.110   1.000   P
Y06         8.020   1.000   S
# 2016 12 18  3  4  4.25  11.4888  141.6478   13.00 -2.00  0.00  0.00  0.00         26
Y03        11.770   1.000   P
Y03        18.280   1.000   S
Y09         8.810   1.000   P
Y07        17.470   1.000   P
Y07        26.010   1.000   S
Y40         6.810   1.000   P
# 2016 12 18  5 18  1.89  11.8677  139.9850    9.90 -2.00  0.00  0.00  0.00         27
Y09        39.790   1.000   P
Y03        43.720   1.000   S
Y07        34.080   1.000   P
Y40        37.100   1.000   P
# 2016 12 18  8 58 15.81  12.5827  141.5188    9.40 -2.00  0.00  0.00  0.00         28
Y07         9.310   1.000   P
Y03        14.130   1.000   P
Y03        25.450   1.000   S
Y85         8.200   1.000   P
# 2016 12 18 15 12  8.98  12.0653  141.5485   10.00 -2.00  0.00  0.00  0.00         29
Y09         5.040   1.000   P
Y85         6.870   1.000   P
Y07         8.920   1.000   P
Y07         9.570   1.000   S
# 2016 12 18 16 25 34.32  12.0253  141.4863    5.00 -2.00  0.00  0.00  0.00         30
Y03         6.680   1.000   P
Y03        12.460   1.000   S
Y85         8.240   1.000   P
Y07         8.720   1.000   P
Y09         8.970   1.000   P
Y40         7.700   1.000   P
# 2016 12 18 17 32  5.00  12.0673  141.6098   13.30 -2.00  0.00  0.00  0.00         31
Y03         8.000   1.000   P
Y85         7.990   1.000   P
Y07        10.010   1.000   P
Y09         5.000   1.000   P
Y09        12.690   1.000   S
Y06         6.000   1.000   P
Y06        15.550   1.000   S
# 2016 12 18 17 38 23.12  11.9770  141.5965   10.00 -2.00  0.00  0.00  0.00         32
Y03         7.530   1.000   P
Y85         8.910   1.000   P
Y07         6.880   1.000   P
Y40        12.760   1.000   P
Y40        18.070   1.000   S
# 2016 12 18 17 46 47.43  12.0867  141.6322   12.70 -2.00  0.00  0.00  0.00         33
Y03         8.600   1.000   P
Y85         8.420   1.000   P
Y85        13.830   1.000   S
Y06         8.590   1.000   P
Y09         7.630   1.000   P
Y40         8.600   1.000   P
# 2016 12 18 17 56 39.31  12.1890  141.7570   10.00 -2.00  0.00  0.00  0.00         34
Y09         3.800   1.000   P
Y07         1.710   1.000   P
Y07         2.030   1.000   S
Y06         4.680   1.000   P
# 2016 12 18 20 26 24.35  11.6515  141.7327   10.00 -2.00  0.00  0.00  0.00         35
Y03         7.640   1.000   P
Y09         6.680   1.000   P
Y06         7.670   1.000   P
Y40         6.630   1.000   P
Y40         8.570   1.000   S
# 2016 12 18 23 57 44.97  11.4487  141.6737    9.90 -2.00  0.00  0.00  0.00         36
Y03        13.000   1.000   P
Y85        10.010   1.000   P
Y09        10.030   1.000   P
Y07        15.800   1.000   P
